data,date
-0.07,2016/7/1 0:03
-0.075,2016/7/1 0:03
-0.08,2016/7/1 0:03
-0.08,2016/7/1 0:03
-0.075,2016/7/1 0:03
-0.06,2016/7/1 0:03
-0.04,2016/7/1 0:03
-0.02,2016/7/1 0:03
-0.005,2016/7/1 0:03
0.005,2016/7/1 0:03
0.01,2016/7/1 0:03
0.01,2016/7/1 0:03
0.005,2016/7/1 0:03
-0.005,2016/7/1 0:03
-0.02,2016/7/1 0:03
-0.025,2016/7/1 0:03
-0.03,2016/7/1 0:03
-0.03,2016/7/1 0:03
-0.02,2016/7/1 0:03
-0.01,2016/7/1 0:03
0,2016/7/1 0:03
0.01,2016/7/1 0:03
0.015,2016/7/1 0:03
0.02,2016/7/1 0:03
0.015,2016/7/1 0:03
0.01,2016/7/1 0:03
0,2016/7/1 0:03
-0.01,2016/7/1 0:03
-0.02,2016/7/1 0:03
-0.025,2016/7/1 0:03
-0.02,2016/7/1 0:03
-0.015,2016/7/1 0:03
-0.005,2016/7/1 0:03
0.01,2016/7/1 0:03
0.02,2016/7/1 0:03
0.025,2016/7/1 0:04
0.025,2016/7/1 0:04
0.02,2016/7/1 0:04
0.01,2016/7/1 0:04
-0.005,2016/7/1 0:04
-0.015,2016/7/1 0:04
-0.025,2016/7/1 0:04
-0.025,2016/7/1 0:04
-0.02,2016/7/1 0:04
-0.005,2016/7/1 0:04
0.015,2016/7/1 0:04
0.035,2016/7/1 0:04
0.055,2016/7/1 0:04
0.07,2016/7/1 0:04
0.075,2016/7/1 0:04
0.075,2016/7/1 0:04
0.07,2016/7/1 0:04
0.065,2016/7/1 0:04
0.065,2016/7/1 0:04
0.065,2016/7/1 0:04
0.07,2016/7/1 0:04
0.075,2016/7/1 0:04
0.09,2016/7/1 0:04
0.1,2016/7/1 0:04
0.11,2016/7/1 0:04
0.12,2016/7/1 0:04
0.12,2016/7/1 0:04
0.125,2016/7/1 0:04
0.125,2016/7/1 0:04
0.125,2016/7/1 0:04
0.13,2016/7/1 0:04
0.135,2016/7/1 0:04
0.145,2016/7/1 0:04
0.155,2016/7/1 0:04
0.165,2016/7/1 0:04
0.17,2016/7/1 0:04
0.17,2016/7/1 0:04
0.165,2016/7/1 0:04
0.155,2016/7/1 0:04
0.145,2016/7/1 0:04
0.14,2016/7/1 0:04
0.135,2016/7/1 0:04
0.135,2016/7/1 0:04
0.14,2016/7/1 0:04
0.15,2016/7/1 0:04
0.165,2016/7/1 0:04
0.175,2016/7/1 0:04
0.19,2016/7/1 0:04
0.2,2016/7/1 0:04
0.2,2016/7/1 0:04
0.2,2016/7/1 0:04
0.19,2016/7/1 0:04
0.175,2016/7/1 0:04
0.16,2016/7/1 0:04
0.145,2016/7/1 0:04
0.13,2016/7/1 0:04
0.12,2016/7/1 0:04
0.12,2016/7/1 0:04
0.12,2016/7/1 0:04
0.125,2016/7/1 0:04
0.13,2016/7/1 0:05
0.13,2016/7/1 0:05
0.13,2016/7/1 0:05
0.115,2016/7/1 0:05
0.1,2016/7/1 0:05
0.075,2016/7/1 0:05
0.045,2016/7/1 0:05
0.02,2016/7/1 0:05
-0.005,2016/7/1 0:05
-0.02,2016/7/1 0:05
-0.03,2016/7/1 0:05
-0.03,2016/7/1 0:05
-0.03,2016/7/1 0:05
-0.03,2016/7/1 0:05
-0.035,2016/7/1 0:05
-0.04,2016/7/1 0:05
-0.055,2016/7/1 0:05
-0.07,2016/7/1 0:05
-0.085,2016/7/1 0:05
-0.095,2016/7/1 0:05
-0.1,2016/7/1 0:05
-0.1,2016/7/1 0:05
-0.095,2016/7/1 0:05
-0.085,2016/7/1 0:05
-0.075,2016/7/1 0:05
-0.07,2016/7/1 0:05
-0.07,2016/7/1 0:05
-0.075,2016/7/1 0:05
-0.085,2016/7/1 0:05
-0.1,2016/7/1 0:05
-0.115,2016/7/1 0:05
-0.125,2016/7/1 0:05
-0.125,2016/7/1 0:05
-0.125,2016/7/1 0:05
-0.115,2016/7/1 0:05
-0.1,2016/7/1 0:05
-0.085,2016/7/1 0:05
-0.075,2016/7/1 0:05
-0.07,2016/7/1 0:05
-0.07,2016/7/1 0:05
-0.075,2016/7/1 0:05
-0.085,2016/7/1 0:05
-0.095,2016/7/1 0:05
-0.1,2016/7/1 0:05
-0.105,2016/7/1 0:05
-0.105,2016/7/1 0:05
-0.1,2016/7/1 0:05
-0.095,2016/7/1 0:05
-0.085,2016/7/1 0:05
-0.08,2016/7/1 0:05
-0.075,2016/7/1 0:05
-0.075,2016/7/1 0:05
-0.08,2016/7/1 0:05
-0.09,2016/7/1 0:05
-0.095,2016/7/1 0:05
-0.1,2016/7/1 0:05
-0.1,2016/7/1 0:05
-0.095,2016/7/1 0:05
-0.085,2016/7/1 0:05
-0.075,2016/7/1 0:05
-0.06,2016/7/1 0:06
-0.05,2016/7/1 0:06
-0.045,2016/7/1 0:06
-0.045,2016/7/1 0:06
-0.055,2016/7/1 0:06
-0.07,2016/7/1 0:06
-0.09,2016/7/1 0:06
