data,date
0.825,2016/7/1 2:16
0.88,2016/7/1 2:16
0.895,2016/7/1 2:16
0.86,2016/7/1 2:16
0.785,2016/7/1 2:16
0.67,2016/7/1 2:16
0.535,2016/7/1 2:16
0.385,2016/7/1 2:16
0.245,2016/7/1 2:16
0.12,2016/7/1 2:16
0.02,2016/7/1 2:16
-0.045,2016/7/1 2:16
-0.075,2016/7/1 2:16
-0.08,2016/7/1 2:16
-0.07,2016/7/1 2:16
-0.05,2016/7/1 2:16
-0.025,2016/7/1 2:16
-0.015,2016/7/1 2:16
-0.01,2016/7/1 2:16
-0.02,2016/7/1 2:16
-0.035,2016/7/1 2:16
-0.055,2016/7/1 2:16
-0.075,2016/7/1 2:16
-0.09,2016/7/1 2:16
-0.1,2016/7/1 2:16
-0.105,2016/7/1 2:16
-0.105,2016/7/1 2:16
-0.095,2016/7/1 2:16
-0.085,2016/7/1 2:16
-0.075,2016/7/1 2:16
-0.065,2016/7/1 2:16
-0.055,2016/7/1 2:16
-0.05,2016/7/1 2:16
-0.05,2016/7/1 2:16
-0.05,2016/7/1 2:16
-0.05,2016/7/1 2:16
-0.05,2016/7/1 2:16
-0.055,2016/7/1 2:16
-0.06,2016/7/1 2:16
-0.06,2016/7/1 2:16
-0.065,2016/7/1 2:16
-0.07,2016/7/1 2:16
-0.08,2016/7/1 2:16
-0.085,2016/7/1 2:16
-0.085,2016/7/1 2:17
-0.09,2016/7/1 2:17
-0.09,2016/7/1 2:17
-0.085,2016/7/1 2:17
-0.08,2016/7/1 2:17
-0.075,2016/7/1 2:17
-0.065,2016/7/1 2:17
-0.06,2016/7/1 2:17
-0.05,2016/7/1 2:17
-0.05,2016/7/1 2:17
-0.05,2016/7/1 2:17
-0.05,2016/7/1 2:17
-0.06,2016/7/1 2:17
-0.065,2016/7/1 2:17
-0.075,2016/7/1 2:17
-0.08,2016/7/1 2:17
-0.08,2016/7/1 2:17
-0.08,2016/7/1 2:17
-0.075,2016/7/1 2:17
-0.07,2016/7/1 2:17
-0.065,2016/7/1 2:17
-0.06,2016/7/1 2:17
-0.055,2016/7/1 2:17
-0.05,2016/7/1 2:17
-0.05,2016/7/1 2:17
-0.05,2016/7/1 2:17
-0.05,2016/7/1 2:17
-0.045,2016/7/1 2:17
-0.045,2016/7/1 2:17
-0.04,2016/7/1 2:17
-0.035,2016/7/1 2:17
-0.03,2016/7/1 2:17
-0.025,2016/7/1 2:17
-0.025,2016/7/1 2:17
-0.03,2016/7/1 2:17
-0.03,2016/7/1 2:17
-0.035,2016/7/1 2:17
-0.04,2016/7/1 2:17
-0.04,2016/7/1 2:17
-0.04,2016/7/1 2:17
-0.04,2016/7/1 2:17
-0.035,2016/7/1 2:17
-0.025,2016/7/1 2:17
-0.015,2016/7/1 2:17
-0.005,2016/7/1 2:17
0.01,2016/7/1 2:17
0.02,2016/7/1 2:17
0.025,2016/7/1 2:17
0.025,2016/7/1 2:17
0.025,2016/7/1 2:17
