data,date
89.20562048,2016/7/1 00:02:27
89.08094957,2016/7/1 00:02:28
89.0052381,2016/7/1 00:02:29
88.9598484,2016/7/1 00:02:30
88.88881256,2016/7/1 00:02:31
88.81816312,2016/7/1 00:02:32
88.77826193,2016/7/1 00:02:33
88.67595241,2016/7/1 00:02:34
88.5870445,2016/7/1 00:02:35
88.54466379,2016/7/1 00:02:36
88.48267041,2016/7/1 00:02:37
88.40581061,2016/7/1 00:02:38
88.33447675,2016/7/1 00:02:39
88.26220721,2016/7/1 00:02:40
88.19162248,2016/7/1 00:02:41
88.1338035,2016/7/1 00:02:42
88.07411048,2016/7/1 00:02:43
88.02115018,2016/7/1 00:02:44
87.97329219,2016/7/1 00:02:45
87.93845178,2016/7/1 00:02:46
87.88201263,2016/7/1 00:02:47
87.81007884,2016/7/1 00:02:48
87.75331849,2016/7/1 00:02:49
87.69833637,2016/7/1 00:02:50
87.66532478,2016/7/1 00:02:51
87.63201126,2016/7/1 00:02:52
87.58746203,2016/7/1 00:02:53
87.52560707,2016/7/1 00:02:54
87.46214473,2016/7/1 00:02:55
87.40065734,2016/7/1 00:02:56
87.35182088,2016/7/1 00:02:57
87.2905517,2016/7/1 00:02:58
87.22914264,2016/7/1 00:02:59
87.19842364,2016/7/1 00:03:00
87.1702944,2016/7/1 00:03:01
87.12193879,2016/7/1 00:03:02
87.07531595,2016/7/1 00:03:03
87.00042396,2016/7/1 00:03:04
86.93777325,2016/7/1 00:03:05
86.92721908,2016/7/1 00:03:06
86.90765927,2016/7/1 00:03:07
86.8616415,2016/7/1 00:03:08
86.74012462,2016/7/1 00:03:09
86.68132113,2016/7/1 00:03:10
86.61137776,2016/7/1 00:03:11
86.52781505,2016/7/1 00:03:12
86.45104189,2016/7/1 00:03:13
86.39508341,2016/7/1 00:03:14
86.3412427,2016/7/1 00:03:15
86.30264343,2016/7/1 00:03:16
86.29487747,2016/7/1 00:03:17
86.25639994,2016/7/1 00:03:18
86.15540536,2016/7/1 00:03:19
86.12864932,2016/7/1 00:03:20
86.05781067,2016/7/1 00:03:21
86.00024753,2016/7/1 00:03:22
85.95825396,2016/7/1 00:03:23
85.87483743,2016/7/1 00:03:24
85.79306022,2016/7/1 00:03:25
85.76537949,2016/7/1 00:03:26
85.73719363,2016/7/1 00:03:27
85.6955385,2016/7/1 00:03:28
85.63446989,2016/7/1 00:03:29
85.59817477,2016/7/1 00:03:30
85.54377815,2016/7/1 00:03:31
85.48814851,2016/7/1 00:03:32
85.45288418,2016/7/1 00:03:33
85.44616052,2016/7/1 00:03:34
85.42255278,2016/7/1 00:03:35
85.38721944,2016/7/1 00:03:36
85.37626621,2016/7/1 00:03:37
85.35077282,2016/7/1 00:03:38
85.32409372,2016/7/1 00:03:39
85.31645796,2016/7/1 00:03:40
85.29315568,2016/7/1 00:03:41
85.26660246,2016/7/1 00:03:42
85.25814448,2016/7/1 00:03:43
85.22844041,2016/7/1 00:03:44
85.20168636,2016/7/1 00:03:45
85.2230786,2016/7/1 00:03:46
85.24683978,2016/7/1 00:03:47
85.28243026,2016/7/1 00:03:48
85.32273727,2016/7/1 00:03:49
85.36353999,2016/7/1 00:03:50
85.40769292,2016/7/1 00:03:51
85.46012943,2016/7/1 00:03:52
85.53109192,2016/7/1 00:03:53
85.58389088,2016/7/1 00:03:54
85.62613683,2016/7/1 00:03:55
